Date,Term,Cluster,X Coordinate,Y Coordinate
1/28/15,civil_nuclear,5,-9.04446029663086,23.245176315307617
1/28/15,ins,-1,-10.290019989013672,24.719392776489258
1/28/15,ge_energy,11,-11.41845703125,24.96930503845215
1/28/15,acquired,11,-8.606191635131836,24.543224334716797
1/28/15,morocco,0,-10.689309120178223,22.770151138305664
1/28/15,fluor,12,-9.298431396484375,25.17758560180664
1/28/15,shipyard,-1,-7.887312889099121,24.486339569091797
1/28/15,syria,0,-10.62087631225586,23.052518844604492
1/28/15,crcc,-1,-11.44627571105957,24.99833869934082
1/28/15,melted,-1,-8.910238265991211,26.36436653137207
1/28/15,heavy_water,-1,-9.199442863464355,26.230989456176758
1/28/15,spent_fuel,8,-8.86313533782959,26.023473739624023
1/28/15,yukiya,3,-8.66043472290039,24.123668670654297
1/28/15,mining_company,7,-8.353801727294922,25.089754104614258
1/28/15,international_security,5,-9.857282638549805,23.431921005249023
1/28/15,sinter,-1,-11.252642631530762,26.408687591552734
1/28/15,rdx,15,-11.649577140808105,25.668590545654297
1/28/15,monju,16,-9.858633995056152,26.227380752563477
1/28/15,complementarity,-1,-10.631281852722168,24.947101593017578
1/28/15,nuclear_industry,11,-9.56845474243164,24.826757431030273
1/28/15,icebreaker,-1,-9.655919075012207,24.735506057739258
1/28/15,international_cooperation,5,-9.426685333251953,23.380613327026367
1/28/15,containment_vessel,-1,-9.890429496765137,26.016700744628906
1/28/15,stockpiling,8,-10.286397933959961,25.598552703857422
1/28/15,arak,8,-8.6319580078125,26.04570770263672
1/28/15,arka,15,-11.881287574768066,25.780241012573242
1/28/15,patented,-1,-9.411014556884766,26.12000274658203
1/28/15,poland,0,-10.581594467163086,22.952329635620117
1/28/15,reactor_power,-1,-10.506879806518555,26.586854934692383
1/28/15,drastically,2,-11.120203018188477,23.776254653930664
1/28/15,ftas,5,-10.351506233215332,24.675243377685547
1/28/15,energy_strategy,5,-9.309818267822266,23.62873077392578
1/28/15,sojitz,-1,-11.328893661499023,25.019346237182617
1/28/15,council,1,-9.736395835876465,24.051090240478516
1/28/15,kepco,-1,-10.022733688354492,25.21952247619629
1/28/15,nonproliferation_treaty,6,-9.422897338867188,24.536924362182617
1/28/15,nuclear_threat_initiative,15,-11.327802658081055,25.774608612060547
1/28/15,sandia,4,-10.252572059631348,24.896381378173828
1/28/15,toshiba,11,-9.006952285766602,24.800735473632812
1/28/15,cruiser,-1,-8.040848731994629,24.639856338500977
1/28/15,asean,5,-10.023106575012207,23.451807022094727
1/28/15,siting,5,-9.352836608886719,24.238143920898438
1/28/15,miniature,-1,-9.586071014404297,26.32625389099121
1/28/15,waste_treatment,8,-9.5667724609375,25.986692428588867
1/28/15,diversification,5,-9.29697322845459,23.306331634521484
1/28/15,power_generation,2,-11.30587387084961,23.40155792236328
1/28/15,reactor_core,-1,-8.795310020446777,26.235071182250977
1/28/15,authorisation,1,-10.779626846313477,24.11629867553711
1/28/15,ornl,4,-9.708986282348633,24.820945739746094
1/28/15,exelon,11,-9.427291870117188,24.970041275024414
1/28/15,rosenergoatom,15,-11.834936141967773,25.141010284423828
1/28/15,ordinator,-1,-11.33823013305664,25.394128799438477
1/28/15,cameco,7,-8.7164306640625,24.942270278930664
1/28/15,state_owned_company,-1,-10.624159812927246,24.63238525390625
1/28/15,adjudication,-1,-11.822090148925781,25.810239791870117
1/28/15,icf,5,-10.18034553527832,24.801992416381836
1/28/15,steag,-1,-10.383620262145996,23.129316329956055
1/28/15,research_development,5,-9.611751556396484,23.410987854003906
1/28/15,nuclear_powered,-1,-7.979690074920654,24.577293395996094
1/28/15,tokamak,-1,-10.242512702941895,25.678245544433594
1/28/15,bolton,5,-10.521211624145508,25.600175857543945
1/28/15,nandipur,-1,-11.958019256591797,25.24558448791504
1/28/15,iran,3,-8.912261962890625,24.259105682373047
1/28/15,prosperity,5,-9.216490745544434,23.427799224853516
1/28/15,scana,-1,-10.771354675292969,25.473966598510742
1/28/15,gcc,0,-10.556441307067871,23.55486488342285
1/28/15,power_station,2,-11.263138771057129,23.21917152404785
1/28/15,ukraine,0,-10.3848876953125,23.40424156188965
1/28/15,nuclear_development,-1,-9.02344036102295,23.94717025756836
1/28/15,strictly,1,-8.400321006774902,23.452102661132812
1/28/15,china_general_nuclear,-1,-11.44966983795166,24.97821807861328
1/28/15,hazardous,8,-8.656729698181152,25.881240844726562
1/28/15,russian,0,-10.267792701721191,23.678707122802734
1/28/15,rfps,15,-11.074275970458984,25.100435256958008
1/28/15,atomstroyexport,-1,-10.662925720214844,24.36007308959961
1/28/15,eis,5,-9.550675392150879,24.29093360900879
1/28/15,estonia,0,-10.497735977172852,22.67192840576172
1/28/15,electricity_infrastructure,2,-11.295897483825684,24.77985382080078
1/28/15,amano,3,-8.53961181640625,23.98750114440918
1/28/15,zipper,-1,-11.523612976074219,26.037914276123047
1/28/15,lithuania,0,-10.45543384552002,22.72262191772461
1/28/15,candu,-1,-9.654593467712402,26.235279083251953
1/28/15,environmental_approval,5,-10.77147102355957,24.827064514160156
1/28/15,tenderer,5,-11.911650657653809,25.395063400268555
1/28/15,agco,12,-10.513418197631836,25.45425796508789
1/28/15,temeln,9,-10.275991439819336,25.33719253540039
1/28/15,policymaking,5,-10.008713722229004,24.379207611083984
1/28/15,hoan,-1,-11.842007637023926,24.092378616333008
1/28/15,edf,11,-9.120943069458008,24.93036460876465
1/28/15,egyptian,0,-10.560038566589355,23.060752868652344
1/28/15,energy_ministerial,-1,-11.778876304626465,25.515108108520508
1/28/15,sultanate,0,-10.89671516418457,24.10443878173828
1/28/15,mambilla,-1,-11.584808349609375,24.550228118896484
1/28/15,electricity_demand,2,-11.31597900390625,23.561155319213867
1/28/15,developing,5,-9.4215726852417,23.39598846435547
1/28/15,slime,-1,-11.150117874145508,26.427152633666992
1/28/15,gaseous_diffusion,-1,-10.695999145507812,25.738767623901367
1/28/15,qatar,0,-10.612049102783203,23.47493553161621
1/28/15,cjsc,15,-11.72134017944336,25.17421531677246
1/28/15,remittance,5,-10.326043128967285,23.288875579833984
1/28/15,arpansa,-1,-11.49527645111084,25.298404693603516
1/28/15,reactor_vendor,-1,-11.133244514465332,25.244779586791992
1/28/15,nuclear_weapon,-1,-8.884228706359863,24.208650588989258
1/28/15,mit,4,-9.52907943725586,22.776262283325195
1/28/15,international_atomic_energy_agency,3,-8.426810264587402,24.03666114807129
1/28/15,licencing,5,-10.179986000061035,24.552419662475586
1/28/15,kuwait,0,-10.691422462463379,23.29334259033203
1/28/15,experimental_reactor,-1,-10.186614990234375,25.144676208496094
1/28/15,sarcophagus,-1,-11.510906219482422,26.16068458557129
1/28/15,caramel,-1,-11.096205711364746,26.3729190826416
1/28/15,un,1,-9.548027992248535,23.880870819091797
1/28/15,joint_stock_company,-1,-11.823442459106445,24.07788848876953
1/28/15,greece,0,-10.316141128540039,22.826873779296875
1/28/15,arab,0,-10.859265327453613,24.140758514404297
1/28/15,mba,4,-9.365994453430176,22.66384506225586
1/28/15,nha,-1,-11.806238174438477,23.950979232788086
1/28/15,pipework,-1,-10.486509323120117,26.481037139892578
1/28/15,infill,7,-9.278435707092285,25.408090591430664
1/28/15,opmart,-1,-11.636213302612305,25.712141036987305
1/28/15,immersion,-1,-10.648183822631836,26.402034759521484
1/28/15,spic,15,-12.097211837768555,25.619951248168945
1/28/15,waste_policy,6,-9.371830940246582,24.85411262512207
1/28/15,control_rod,-1,-10.349228858947754,26.47389793395996
1/28/15,grid,2,-11.277164459228516,23.729738235473633
1/28/15,climate,5,-9.216043472290039,23.246700286865234
1/28/15,iga,5,-9.774313926696777,24.42557716369629
1/28/15,enforcing,1,-8.490490913391113,23.329673767089844
1/28/15,norway,0,-10.345614433288574,22.70635986328125
